명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,주최자 정보,주최자 연락처,주관사 정보,주관사 연락처,행사시작일,행사종료일,공연시간,행사장소,이벤트 홈페이지,이용요금,할인정보,관람소요시간,관람가능연령,예매처,행사장 위치안내,부대행사,프로그램,상세정보,진행형태,축제형태
포천백운계곡 동장군축제,11110.0,포천시,031-536-9917,경기도 포천시 포화로 236-11포천 백운계곡,38.0730419918,127.4095586709,"산과 계곡이 어우러져 경치가 아름다운 포천백운계곡에서 마을 주민이 주관한 제19회 포천백운계곡 동장군 축제가 열린다. ""흰눈 펑펑! 얼음 꽁꽁! 가자! 포천 백운계곡!"" 슬로건으로 2023. 12. 22. ~ 2024. 2. 12.(53일간) 축제를 개최한다. 약 3천평 부지 내에서 이루어지는 축제는 겨울 여행의 테마가 있는 놀이와 체험프로그램, 먹거리 등 다양한 프로그램이 진행되며, 특히 눌썰매장의 길이가 약120m로 계곡과 주변 경관이 어우러져 눈썰매를 타며 아름다운 경치를 감상할 수 있어 수도권 최고의 겨울 축제임을 자랑한다.",포천시,031-536-9917,백운계곡상인협동조합,,20231222.0,20240212.0,10:00 ~ 17:00,포천 백운계곡,,"입장료 1,000 (프로그램별 별도 요금)",,,,,,,,"행사소개:산과 계곡이 어우러져 경치가 아름다운 포천백운계곡에서 마을 주민이 주관한 제19회 포천백운계곡 동장군 축제가 열린다. ""흰눈 펑펑! 얼음 꽁꽁! 가자! 포천 백운계곡!"" 슬로건으로 2023. 12. 22. ~ 2024. 2. 12.(53일간) 축제를 개최한다. 약 3천평 부지 내에서 이루어지는 축제는 겨울 여행의 테마가 있는 놀이와 체험프로그램, 먹거리 등 다양한 프로그램이 진행되며, 특히 눌썰매장의 길이가 약120m로 계곡과 주변 경관이 어우러져 눈썰매를 타며 아름다운 경치를 감상할 수 있어 수도권 최고의 겨울 축제임을 자랑한다.
행사내용:1. 메인프로그램 : 눈썰매, 얼음낚시, 어린이 놀이시설(미니바이킹, 꼬마 기차, 유로번지, 에어바운스)<br>2. 부대프로그램 : 얼음기둥, 노래공연, 동장군 소원나무<br>3. 소비자 참여 프로그램 : 실내 빙어낚시, 이글루, 팽이치기<br>4. 기타 내용 : 바비큐, 국밥, 송어회/구이, 분식, 군밤, 군고구마
",선택안함,선택안함
N서울타워 벚꽃 페스티벌 ‘Blossom TOWER’,4340.0,N서울타워,02-3455-9277,서울특별시 용산구 남산공원길 105 YTN서울타워,37.5511700886,126.98787337959999,"N서울타워는 연인들이 남산에서 여유로운 휴식과 함께 사랑을 꽃피울 수 있는 'Blossom TOWER' 페스티발을 개최한다. <br>서울 도심보다 온도가 2~3도 가량 낮아 서울에서 가장 오랫동안 벚꽃을 관람할 수 있는 N서울타워는, 한눈에 담기에 벅찬 아름다운 서울 도심의 봄향기를 선물한다.<br>'사랑의 자물쇠'에 봉인된 사랑의 이야기로 가득한 N서울타워에서는 연인들을 위한 벚꽃 패키지 상품과 더불어 '두근 두근 연애운'과 함께 100% 경품 제공 이벤트, 탁트인 경치 VIEW와 함께 맥주와 와인을 즐기는 '뷰맥 FESTIVAL', 벚꽃 나무를 품은 대형 포토존과 함께하는 SNS 인증 이벤트 등 다채로운 컨텐츠들로 가득 차 있다.<br><br>※ 일부 행사는 현장상황에 따라 변경 및 취소될 수 있다.",N서울타워,02-3455-9277,,02-3455-9277,20230401.0,20230430.0,10:30 ~ 22:00,N서울타워,,"대인 16,000원, 소인 12,000원 (경로 및 장애인 30% 할인)",,,,,,,,"행사소개:N서울타워는 연인들이 남산에서 여유로운 휴식과 함께 사랑을 꽃피울 수 있는 'Blossom TOWER' 페스티발을 개최한다. <br>서울 도심보다 온도가 2~3도 가량 낮아 서울에서 가장 오랫동안 벚꽃을 관람할 수 있는 N서울타워는, 한눈에 담기에 벅찬 아름다운 서울 도심의 봄향기를 선물한다.<br>'사랑의 자물쇠'에 봉인된 사랑의 이야기로 가득한 N서울타워에서는 연인들을 위한 벚꽃 패키지 상품과 더불어 '두근 두근 연애운'과 함께 100% 경품 제공 이벤트, 탁트인 경치 VIEW와 함께 맥주와 와인을 즐기는 '뷰맥 FESTIVAL', 벚꽃 나무를 품은 대형 포토존과 함께하는 SNS 인증 이벤트 등 다채로운 컨텐츠들로 가득 차 있다.<br><br>※ 일부 행사는 현장상황에 따라 변경 및 취소될 수 있다.
행사내용:EVENT 1. 두근두근 벚꽃패키지<br>전망대 2인+벚꽃 자물쇠 1개+핑크 모스카토 2잔+뚱카롱 1개+운세코인 1개<br><br>EVENT 2. 두근두근 연애운<br>연애운과 함께 한쿡 식사권, 벚꽃 굿즈, 투썸 아메리카노 등 100% 당첨의 행운까지!<br><br>EVENT 3. 뷰맥 FESTIVAL<br>서울의 전경을 바라보면서 시원한 에딩거 맥주와 다양한 와인을 즐겨보세요<br><br>EVENT 4. SNS 인증샷 남기기<br>봄향기 가득한 남산 인증샷을 남기면 추첨을 통해 다양한 경품이~~<br>#남산타워#서울타워#벚꽃명소
",선택안함,선택안함
달빛가득 부평향교,21054.0,계양구,032-450-5754,인천광역시 계양구 향교로 19 부평향교(지정문화재),37.5395472304,126.7207175131,"2023 <달빛가득 부평향교>는 보름달이 가득 차오른 밤 부평향교를 함께 거닐며 포토존, 오색(五色)찬란 전통체험, 낭만적인 달빛 야외 음악회를 즐기며 향교를 살아 숨 쉬는 문화공간으로 향유한다.",계양구,032-450-5754,계양문화원,032-450-5754,20231027.0,20231027.0,17:00~21:00,부평향교,,무료,,17:00~21:00 (4시간),,,,,,"행사소개:2023 <달빛가득 부평향교>는 보름달이 가득 차오른 밤 부평향교를 함께 거닐며 포토존, 오색(五色)찬란 전통체험, 낭만적인 달빛 야외 음악회를 즐기며 향교를 살아 숨 쉬는 문화공간으로 향유한다.
행사내용:포토존, 오색찬란 체험마당, 버스킹 공연, 달빛 음악회 등
",선택안함,선택안함
"지성(知性)애(愛) 빠지다, 부평향교",21054.0,계양구,032-450-5753,인천광역시 계양구 향교로 19 부평향교(지정문화재),37.5395472304,126.7207175131,"2022 <지성(知性)애(愛) 빠지다, 부평향교>는 고려시대에 세워져 오랜 기간 유생들의 역사를 간직하고 인문정신이 살아 숨 쉬는 유서 깊은 문화유산 부평향교에서 다양한 주제의 교육·체험·공연 프로그램을 통해 구민들이 즐겁게 지성(知性)을 함양하고, 내가 사는 지역 문화재 향교에 대한 애정을 키우며 남녀노소 빠져들 수 있게 한다.",계양구,032-450-5753,계양문화원,,20220513.0,20221022.0,프로그램별 상이,부평향교 (계양구 향교로 19),,무료,,,,,,,,"행사소개:2022 <지성(知性)애(愛) 빠지다, 부평향교>는 고려시대에 세워져 오랜 기간 유생들의 역사를 간직하고 인문정신이 살아 숨 쉬는 유서 깊은 문화유산 부평향교에서 다양한 주제의 교육·체험·공연 프로그램을 통해 구민들이 즐겁게 지성(知性)을 함양하고, 내가 사는 지역 문화재 향교에 대한 애정을 키우며 남녀노소 빠져들 수 있게 한다.
행사내용:5월 달빛가득 부평향교<br>6월 꼬마송윤, 위패를 구하라!<br>9월 춘추x청춘 감성인문학교<br>11월 힐링칠링 유생나들이
",선택안함,선택안함
동심을 상상해봄,16614.0,"경기도, 경기문화재단",031-296-1987,경기도 수원시 권선구 서둔로 166,37.2665807612,126.98119031870002,"어린이날을 맞이하여 준비된 해당 축제는 어린이 맞춤형 콘텐츠로 구성된 체험, 공연, 플리마켓 등을 경험할 수 있다. 특히 마켓과 체험은 경기상상캠퍼스에 입주한 입주단체들과 협력하여 진행된다.","경기도, 경기문화재단",031-296-1987,"경기문화재단, 경기상상캠퍼스",031-296-1987,20230505.0,20230505.0,10:00 ~ 18:00,경기상상캠퍼스,,무료(일부 프로그램 유료),,,,,,,,"행사소개:어린이날을 맞이하여 준비된 해당 축제는 어린이 맞춤형 콘텐츠로 구성된 체험, 공연, 플리마켓 등을 경험할 수 있다. 특히 마켓과 체험은 경기상상캠퍼스에 입주한 입주단체들과 협력하여 진행된다.
행사내용:1. 메인프로그램 : '동심몽글 버스킹' 공연 진행 - 훌라댄스, 우쿠렐레 생활문화동호회 공연, 익스트림 마술쇼, 아코디언 요들송 버스킹 공연<br><br>2. 부대프로그램 : '동심몽글 시네마' 진행 - 애니메이션 3회 실내 상영 운영(사전접수 운영)<br><br>3. 소비자 참여 프로그램 : '동심몽글 체험&마켓' 진행 - 입주단체와 함께 하는 다양한 창작상품 마켓 및 특색있는 체험 부스 운영<br><br>4. 기타 내용 : 입주단체 '트리플레잉'과 연계하여 트리클라이밍 체험 '신나는 트리플레잉 체험' 등 협력 진행
",선택안함,선택안함
휴애리 여름 수국축제,63608.0,휴애리자연생활공원,064-732-2114,제주특별자치도 서귀포시 신례동로 256 휴애리,33.3083171551,126.6336401426,"휴애리 여름 수국축제는 정성스럽게 키운 다양한 수국을 온실, 수국정원, 수국오름 등 공원 곳곳에서 감상할 수 있어 제주도민과 관광객에게 인기가 좋은 제주 대표 축제이다.  특별히 온실에서 다양한 수국을 만나 볼 수 있으며 공원 첫 입구부터 나오는 출구까지 전체가 수국으로 덮혀있는 풍경을 자랑한다.<br><br>전년도 보다 더 풍성하게 준비될 이번 휴애리 여름 수국축제는 신혼여행, 웨딩스냅, 우정스냅 등 인생사진 찍기 좋은 장소로 인정받은 제주여행의 필수 코스 이다.  가족, 연인, 친구와 함께 다양한 수국 포토존 에서 아름다운 추억을 만들 수 있다.",휴애리자연생활공원,064-732-2114,휴애리자연생활공원,064-732-2114,20230525.0,20230720.0,"11:00, 13:00, 15:00, 17:00 (하루4번)",휴애리자연생활공원 내,,"성  인:13,000원/단체:9,000원/도민:8,000원<br>청소년:11,000원/단체:8,000원/도민:7,000원<br>어린이:10,000원/단체:7,000원/도민:6,000원<br><br>경로/장애인/국가유공자/군인/경찰/소방관 단체요금 적용<br>단체요금 20명 부터 적용<br>35개월까지는 무료입장<br>세자녀 50%할인(자녀만 할인혜택, 고등학생까지)<br>제주특별자치도민, 장애인, 유공자, 군인, 경찰, 소방관은 반드시 신분증 및 증명서를 제시해야 합니다.",,,,,,,,"행사소개:휴애리 여름 수국축제는 정성스럽게 키운 다양한 수국을 온실, 수국정원, 수국오름 등 공원 곳곳에서 감상할 수 있어 제주도민과 관광객에게 인기가 좋은 제주 대표 축제이다.  특별히 온실에서 다양한 수국을 만나 볼 수 있으며 공원 첫 입구부터 나오는 출구까지 전체가 수국으로 덮혀있는 풍경을 자랑한다.<br><br>전년도 보다 더 풍성하게 준비될 이번 휴애리 여름 수국축제는 신혼여행, 웨딩스냅, 우정스냅 등 인생사진 찍기 좋은 장소로 인정받은 제주여행의 필수 코스 이다.  가족, 연인, 친구와 함께 다양한 수국 포토존 에서 아름다운 추억을 만들 수 있다.
행사내용:상설 체험프로그램<br><br>동물먹이주기체험(토끼,염소,말,닭,흑돼지등)<br>야생화 자연 학습체험<br>전통놀이체험(돌탑쌓기, 투호던지기, 굴렁쇠 체험, 제기차기, 널뛰기 등)
",선택안함,선택안함
창경궁 야연,3072.0,문화재청 궁능유적부,1522-2295,서울특별시 종로구 창경궁로 185 창경궁,37.5789336838,126.9964634775,"창경궁 야연은 ‘효심’을 주제로 창경궁의 역사·문화적 가치를 반영하여 기획한 야간 체험 프로그램이다. 창경궁 야연은 기존 궁궐 체험과 달리 부모님 중 한 분이 체험자로 직접 참여하고 가족들이 관람객이 되는 프로그램이다. 체험자는 궁중의상과 전통음식을 체험할 수 있으며, 장수사진 및 가족사진을 촬영하여 행사가 끝난 후에는 액자에 담아 기념품으로 증정한다. 자세한 내용은 한국문화재재단 누리집(<a href=""https://www.chf.or.kr/chf"" target=""_blank"" title=""새창 : 2022 창경궁 야연"">https://www.chf.or.kr</a>)에서 확인할 수 있다.",문화재청 궁능유적부,1522-2295,한국문화재재단,,20230502.0,20230519.0,16:00-20:30,서울 종로구 창경궁 문정전,,"1인 100,000원(체험객 1인 외 가족 관람객 최대 4인 참가),할인정보: 장애인 1-3급(본인 포함 2인) 50% 할인, 장애인 4-6급(본인) 50% 할인,국가유공자(본인) 50% 할인",,,,,,,,"행사소개:창경궁 야연은 ‘효심’을 주제로 창경궁의 역사·문화적 가치를 반영하여 기획한 야간 체험 프로그램이다. 창경궁 야연은 기존 궁궐 체험과 달리 부모님 중 한 분이 체험자로 직접 참여하고 가족들이 관람객이 되는 프로그램이다. 체험자는 궁중의상과 전통음식을 체험할 수 있으며, 장수사진 및 가족사진을 촬영하여 행사가 끝난 후에는 액자에 담아 기념품으로 증정한다. 자세한 내용은 한국문화재재단 누리집(<a href=""https://www.chf.or.kr/chf"" target=""_blank"" title=""새창 : 2022 창경궁 야연"">https://www.chf.or.kr</a>)에서 확인할 수 있다.
",선택안함,선택안함
BLOSSOM THE HOPE,6164.0,"강남구, 한국무역협회, 코엑스 MICE클러스트 위원회(CMC)",02-6000-1155,서울특별시 강남구 영동대로 513 코엑스,37.5119175967,127.059217995,"5월 2일부터 7일까지 서울 무역센터 일대에서 'BLOSSOM THE HOPE 2023'가 개최된다. 이번 BLOSSOM THE HOPE 2023는 'Spread the JOY : 즐거움을 꽃 피우다'라는 주제로 일상 속 지친 사람들을 전시, 공연 등 다양한 콘텐츠를 관람하며 힐링과 즐거움을 받아갈 수 있는 축제이다. 다양한 전시 외에도 뮤직 페스티벌, 푸드 스트리트를 통해 즐거움과 전시장 곳곳마다 마련된 포토부스로 잊지 못할 추억을 남길 수 있다. 이외에도 현장 안내데스크에서 이벤트 및 전시 소개 등의 서비스를 받을 수 있다.","강남구, 한국무역협회, 코엑스 MICE클러스트 위원회(CMC)",02-6000-1155,코엑스,,20230502.0,20230507.0,10:00~19:00 (일부 전시 일정 상이함),코엑스,,무료,,,,,,,,"행사소개:5월 2일부터 7일까지 서울 무역센터 일대에서 'BLOSSOM THE HOPE 2023'가 개최된다. 이번 BLOSSOM THE HOPE 2023는 'Spread the JOY : 즐거움을 꽃 피우다'라는 주제로 일상 속 지친 사람들을 전시, 공연 등 다양한 콘텐츠를 관람하며 힐링과 즐거움을 받아갈 수 있는 축제이다. 다양한 전시 외에도 뮤직 페스티벌, 푸드 스트리트를 통해 즐거움과 전시장 곳곳마다 마련된 포토부스로 잊지 못할 추억을 남길 수 있다. 이외에도 현장 안내데스크에서 이벤트 및 전시 소개 등의 서비스를 받을 수 있다.
행사내용:Big Picture in For : Rest (디지털 아트 전시회)<br>Open Rehearsal (클래식 공연)<br>FLOWER GARDEN<br>BTH x 루이스웨인 展<br>Cup of Therapy 포토존<br>Mr.Donothing 대형 벌룬 아트<br>CMC For : Rest
",선택안함,선택안함
김해 꽃 축제,50807.0,"대동농협,영남화훼농협,부경원예농협",055-335-7711,경상남도 김해시 대동면 조눌리,35.2531386281,129.0001275947,"화훼주산지를 대표하는 김해의 아름다운 꽃과 향기를 경험하고, 일상에 지친 시민들과 코로나19로 화훼산업이 침체된 농업인들 간의 화합의 장이 될 수 있는 축제이다.","대동농협,영남화훼농협,부경원예농협",055-335-7711,김해꽃축제추진위원회,,20230511.0,20230514.0,5월 11일(목) 11:00 ~ 21:00<br>5월 12일(금) 09:00 ~ 18:00<br>5월 13일(토) 11:00 ~ 18:30<br>5월 14일(일) 11:00 ~ 18:00,대동생태체육공원 일원,,무료,,,,,,,,"행사소개:화훼주산지를 대표하는 김해의 아름다운 꽃과 향기를 경험하고, 일상에 지친 시민들과 코로나19로 화훼산업이 침체된 농업인들 간의 화합의 장이 될 수 있는 축제이다.
",선택안함,선택안함
부산가족축제,47197.0,부산광역시,051-330-3472 / 1577-9337,부산광역시 부산진구 시민공원로 73 부산시민공원,35.1654495102,129.05723613520001,"5월 가정의 달, 가정의 날, 부부의 날 기념 행사이다.<br>가족의 소중함 및 중요성을 고취하고 가족친화적인 문화환경을 조성하여 건강가정을 구현하고자 한다.<br>2007년부터 시작해 올해로 17회를 맞이한 부산가족축제는 남녀노소, 다양한 가족 누구나 참여할 수 있는 가족놀이체험의 장이다.<br>제17회 축제는 '하나뿐인 부산, 하나로 모여, 하나되는 가치'를 주제로 안전하고 즐겁게 즐길 수 있는 가족프로그램 운영한다.<br>주요 프로그램은 (1)온오프라인 가족체험 36개 (2)2030 부산세계박람회 유치 기원 가족대회 (3)가족가치 퀴즈 (4)공연 및 이벤트-소문내기, 참여후기 이다.<br>본 행사에 대한 자세한 내용은 '부산가족축제 홈페이지'에서 확인 가능하다.",부산광역시,051-330-3472 / 1577-9337,부산지역 12개소 건강가정지원센터 및 가족센터,051-330-3472 / 1577-9337,20230508.0,20230521.0,11:00~16:00,부산시민공원 다솜마당,,무료,,,,,,,,"행사소개:5월 가정의 달, 가정의 날, 부부의 날 기념 행사이다.<br>가족의 소중함 및 중요성을 고취하고 가족친화적인 문화환경을 조성하여 건강가정을 구현하고자 한다.<br>2007년부터 시작해 올해로 17회를 맞이한 부산가족축제는 남녀노소, 다양한 가족 누구나 참여할 수 있는 가족놀이체험의 장이다.<br>제17회 축제는 '하나뿐인 부산, 하나로 모여, 하나되는 가치'를 주제로 안전하고 즐겁게 즐길 수 있는 가족프로그램 운영한다.<br>주요 프로그램은 (1)온오프라인 가족체험 36개 (2)2030 부산세계박람회 유치 기원 가족대회 (3)가족가치 퀴즈 (4)공연 및 이벤트-소문내기, 참여후기 이다.<br>본 행사에 대한 자세한 내용은 '부산가족축제 홈페이지'에서 확인 가능하다.
행사내용:1. 온오프라인 가족체험: 평등, 돌봄, 포용을 주제로 한 36개 온오프라인 가족체험<br><br>2. 가족대회: 2030 부산세계박람회 유치 기원 가족협동 그림그리기 대회<br><br>3. 가족가치 퀴즈: 가족가치를 주제로 한 가족퀴즈 2개<br><br>4. 공연: 부산k-타이거즈, 버닝소다 <br><br>5. 이벤트: 소문내기 이벤트, 참여후기 이벤트 등	

",선택안함,선택안함
묘현례,3135.0,문화재청 궁능유적본부,한국문화재재단 콜센터 1522-2295 / 담당 02-3210-4803,서울특별시 종로구 종로 157 종묘공원,37.5710345779,126.9951471543,"묘현례(廟見禮)는 왕비나 세자빈이 왕실 혼례를 마친 후 조선왕조 역대 왕과 왕비의 신주가 모셔진 종묘를 알현하는 의례로, 조선시대 국가의례 중 왕실 여성이 유일하게 참여한 의례라는 점에서 그 의미가 매우 깊다.<br><br>「2023년 종묘 묘현례」에서는 1703년에 행해진 인원왕후의 묘현례를 창작극과 의례재현을 결합한 새로운 공연 콘텐츠로 재구성하여 관람객들에게 선보인다. 완연한 봄, 뜻깊은 왕실 행사에 여러분들을 초대한다.",문화재청 궁능유적본부,한국문화재재단 콜센터 1522-2295 / 담당 02-3210-4803,한국문화재재단,한국문화재재단 콜센터 1522-2295 / 담당 02-3210-4803,20230428.0,20230501.0,"11:00~17:00 / 공연 : (1부) 13:00, (2부) 16:00",종묘,,"무료(종묘 입장료 1,000원 별도)",,,,,,,,"행사소개:묘현례(廟見禮)는 왕비나 세자빈이 왕실 혼례를 마친 후 조선왕조 역대 왕과 왕비의 신주가 모셔진 종묘를 알현하는 의례로, 조선시대 국가의례 중 왕실 여성이 유일하게 참여한 의례라는 점에서 그 의미가 매우 깊다.<br><br>「2023년 종묘 묘현례」에서는 1703년에 행해진 인원왕후의 묘현례를 창작극과 의례재현을 결합한 새로운 공연 콘텐츠로 재구성하여 관람객들에게 선보인다. 완연한 봄, 뜻깊은 왕실 행사에 여러분들을 초대한다.
행사내용:1. 일시 : 2023. 4. 28.(금) ~ 5. 1.(월), 11:00~17:00 / 공연 (1부) 13:00, (2부) 16:00<br>2. 장소 : 종묘 영녕전<br>3. 관람료 : 무료(종묘 입장료 1,000원 별도)<br>4. 사전예약 오픈 : 2023. 4. 21.(금) 14:00 / 티켓링크(www.ticketlink.co.kr)<br>  ○ 일부 좌석만 사전예약(비지정 좌석)으로 운영하며, 관람일 당일에 현장 접수 또한 진행함<br>5. 현장접수 및 사전예약 확인 : 공연 시작 30분 전부터(종묘 영녕전 접수 데스크)<br>6. 부대행사<br>  ○ 조선 왕실 여성문화 체험(전통 화장품 만들기, 왕후가 되어 사진 찍어보기(포토존))
",선택안함,선택안함
유기농데이,4520.0,"농림축산식품부, 농림수산식품교육문화정보원, 농협경제지주, 한국소비자단체협의회",044-863-6202,서울특별시 중구 태평로1가청계광장,37.5693539082,126.97791543870001,"유기농데이는 한국친환경농업협회와 친환경농산물자조금관리위원회가 유기농업의 가치를 알리고, 소비를 촉진하기 위해 유기농과 발음이 비슷한 6월 2일을 유기농업 기념일로 지정한 날이다. 2023년 유기농데이를 맞이하여 <나와 지구를 지키는 건강한 한입>을 주제로 친환경농산물의 가치를 알리는 다양한 행사와 이벤트가 펼쳐진다. <br> 6월 3일 토요일 청계광장에서 '유기농데이 기념식'과, 신선하고 건강하게 자란 친환경농산물을 바로 구매할 수 있는 '친환경농산물 파머스마켓'이 열리며 친환경농업의 중요성을 공감할 수 있는 다양한 체험 프로그램과 이벤트도 준비되어 있다. <br>더불어 5월 16일부터는 친환경농산물 소비와 유기농데이에 동참하면 다양한 선물을 증정하는 '유기농데이 온라인 이벤트'가 진행될 예정이다. 나와 지구를 지키는 건강한 친환경 농산물을 만날 수 있는 다양한 유기농데이 행사와 이벤트에 참여해 보자!","농림축산식품부, 농림수산식품교육문화정보원, 농협경제지주, 한국소비자단체협의회",044-863-6202,한국친환경농업협회·친환경농산물자조금관리위원회,044-863-6202,20230603.0,20230603.0,11:00~18:00,,,무료,,,,,,,,"행사소개:유기농데이는 한국친환경농업협회와 친환경농산물자조금관리위원회가 유기농업의 가치를 알리고, 소비를 촉진하기 위해 유기농과 발음이 비슷한 6월 2일을 유기농업 기념일로 지정한 날이다. 2023년 유기농데이를 맞이하여 <나와 지구를 지키는 건강한 한입>을 주제로 친환경농산물의 가치를 알리는 다양한 행사와 이벤트가 펼쳐진다. <br> 6월 3일 토요일 청계광장에서 '유기농데이 기념식'과, 신선하고 건강하게 자란 친환경농산물을 바로 구매할 수 있는 '친환경농산물 파머스마켓'이 열리며 친환경농업의 중요성을 공감할 수 있는 다양한 체험 프로그램과 이벤트도 준비되어 있다. <br>더불어 5월 16일부터는 친환경농산물 소비와 유기농데이에 동참하면 다양한 선물을 증정하는 '유기농데이 온라인 이벤트'가 진행될 예정이다. 나와 지구를 지키는 건강한 친환경 농산물을 만날 수 있는 다양한 유기농데이 행사와 이벤트에 참여해 보자!
행사내용:주요 프로그램<br>① 유기농데이 기념식<br>② 현장 프로그램 : 친환경 청년 농부 파머스마켓, 국민가수 박현빈·핑거스타일 기타 달인 정선호·인디씬의 떠오르는 루키 그래쓰(GRASS) 공연, 최교덕 마술사의 마술 쇼, 레크리에이션, 친환경 모종 심기, 논생물 체험, 채소 음악 교실 프로그램<br>③ 현장 이벤트 : 휴대폰 달력에 유기농데이 기념일 등록하면 친환경 장바구니 증정, 플라스틱 병뚜껑 10개 혹은 친환경 인증마크 1개를 오려서 가져오면 파머스마켓 1만원 쿠폰으로 교환
",선택안함,선택안함
인천아트북페어,22827.0,인천광역시,032-440-7878,인천광역시 서구 장고개로231번길 9 코스모 40코스모 40,37.486583186,126.6779256729,"2023 인천 아트북페어가 오는 6월 10일(토) 코스모 40에서 개최된다.  전국 독립서점 및 작가, 출판사 등 165팀이 참여하는 아트북마켓과 인문학 강연, 공연, 전시, 체험행사 등 다채로운 프로그램이 진행되니 많은 관심과 참여 바란다.",인천광역시,032-440-7878,북극서점,032-440-7872,20230610.0,20230610.0,11:00~18:00,코스모 40,,무료,,,,,,,,"행사소개:2023 인천 아트북페어가 오는 6월 10일(토) 코스모 40에서 개최된다.  전국 독립서점 및 작가, 출판사 등 165팀이 참여하는 아트북마켓과 인문학 강연, 공연, 전시, 체험행사 등 다채로운 프로그램이 진행되니 많은 관심과 참여 바란다.
행사내용:1. 아트북 마켓:  전국 독립서점·작가 등 165팀 참여  *인천지역 : 38개팀(23%)<br>     - 독립출판 도서 및 포스터․엽서․스티커 등 관련 상품 판매 <br>2. 강  연 : 김연수 작가, 김초엽 작가, 신형철 작가 등 3인<br>3. 공  연 : 권나무, 사람 또 사람<br>4. 전  시 : ㅇㅇㅇ 작가 팝업 전시<모션 스톱> ,  Revive: 가벼운 불꽃 수집<br>5. Workshop : IKSK 김선경 작가, 로테이트 작가<br>6. 체  험 : 드로잉 열쇠고리, 스탬프 엽서 만들기
",선택안함,선택안함
