명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,이용시간,쉬는날,이용요금,할인정보,관람소요시간,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
본태박물관,63525,,,제주특별자치도 서귀포시 안덕면 산록남로762번길 69(안덕면),33.303341652,126.3919251089,"본태박물관은 전통과 현대의 공예품을 통해 인류 공통의 아름다움을 탐색함을 목적으로 2012년 수려한 자연경관이 함께하는 제주에 설립되다.본태(本態)는 '본래의 모습'이라는 의미를 담고 있다.
프리츠커상(1995)을 수상한 건축가 안도 다다오(1941~)가 설계한 본태박물관은 대리석을 연상케 하는 건축가 고유의 노출콘크리트와 건축 요소로 차용된 빛과 물이 조화롭게 어우러진 건축의 뛰어난 수준을 보여준다.  또한, 아름다운 우리의 전통 공예품과 피카소 · 쿠사마 야요이 · 백남준 · 로버트 인디애나 등 세계적인 작가들의 현대 미술품을 통해 새로운 미래가치를 탐색하고자 하며, 전시 뿐 아니라 자선사업 · 교육 · 세미나 · 강연 등 다양한 활동을 펼치고 있는 복합문화공간이다. 
본태박물관은 사람과 사람, 자연과 건축, 전통과 현대, 세계와 한국이 서로 만나 아름다움으로 한국문화 정체성을 정립하고 세계인의 감성을 움직여, 보다 윤택하고 풍요로운 우리의 미래를 가꾸어 보고자 한다.",,"부지면적 7,603㎡, 건축면적 2,424.05㎡<br />
건물 3동, 전시관 총 5관",200여명(동시입장),10:00 ~ 18:00,연중무휴,"성인(20~64세) : 20,000원 / 단체 16,000원<br />학생(초,중,고), 경로 : 12,000원 / 단체 10,000원<br />미취학(만3세~만7세) 10,000원 / 단체 8,000원<br />복지카드(본인), 국가유공자 9,000원<br />만 36개월 이하 무료<br />문화누리카드 50%","제주도민 할인 적용, 제휴호텔 할인적용(성인요금기준)",1시간 30분~2시간 소요,주차 가능,무료,가능,불가,가능,"소장품현황:소반, 목가구, 장신구 등 전통공예품 및 현대미술품 총 3,000여점 소장		

"
김포독립운동기념관,10062,,,경기도 김포시 양촌읍 양곡2로30번길 46,37.6533268175,126.6295559905,"김포시 독립운동기념관은 2013년 양촌읍에 개관하였으며, 지상 2층 규모로 건립되었다. 김포 지역에서 일어났던 독립운동 정신을 계승하고 선열들을 기리기 위해 세워졌다. 기념관이 조성된 곳은 1919년 오라니장터 만세운동이 일어났던 장소로, 김포 지역의 항일운동 관련 자료를 한눈에 볼 수 있는 공간이다.
기념관 1층은 상설전시실과 기획전시실, 영상실, 학예 연구실이 있으며 2층은 양촌 청소년문화의 집이 운영되고 있다. 1층 상설전시관에는 김포 지역에서 일어난 독립운동을 재현한 영상과 김포를 비롯한 전국의 독립운동 역사 등을 전시하고 있으며, 안중근의 어머니 조마리아 여사가 안중근 의사에게 보낸 마지막 서신과 안중근 의사의 〔국가안위노심초사〕 기증품이 전시되어 있다. 기획전시실에서는 3.1절과 8.15광복절 특별 전시와 그밖에 다양한 주제의 전시가 개최된다. 특히, 2023년에는 김포시 독립운동기념관 상설 및 기획전시실 내부를 3D 모델링 후 가상공간에 재현한 메타버스 가상전시관을 오픈하였으며, 다양한 미션을 해결하며 재미있게 김포 독립운동사에 대해 학습할 수 있다.
또한, 유치원부터 청소년, 가족을 대상으로 한 교육 프로그램을 운영하고 있다. 주요 교육 프로그램으로는 국가상징 체험활동, 청소년 도슨트, 역사강좌 등이 있다. 이 밖에도 3.1절 교육 프로그램인 역사 속의 태극기, 나만의 상징 텀블러 만들기 그리고 광복절 행사 연계 도자체험 프로그램 등의 다양한 행사를 열고 있다.",,"건축면적 1,297.91㎡, 연면적 1,956.86㎡",,09:00~18:00,월요일 / 공휴일,무료,,약 30분,가능<br>요금(무료),,없음,불가,없음,"체험프로그램:국가상징 체험활동 / 역사강좌 / 청소년 도슨트 
대관안내:전화상담 후 방문 접수
한국어 안내서비스:문화관광해설사 안내 가능 <br />
(해설사 비상시적 배치로 인하여 예약하시면 더욱 편리하게 해설안내서비스를 이용하실 수 있습니다.)
"
영암군립하정웅미술관,58434,,,전라남도 영암군 군서면 구림로 96,34.7606856731,126.6217821635,"재일교포 사업가 하정웅(1938~)이 기증으로 설립된 공공미술관이다. 3801건의 미술품과 자료가 소장되어 있으며 1년에 4차례 기획전을 하고 있다. 대표작으로는 이우환, 곽인식 재일교포 화가들의 작품과 마리 로랑생, 벤 샨의 작품이 소장되어 있다. 수려한 월출산과 호남의 명촌인 구림마을에 위치하고 있어서 주변에 볼거리가 다양하다. 4월 초에는 지역의 대표 문화 축제인 왕인문화축체가 열려 가장 많이 사람들이 찾는다.",,,20-30명,10:00~18:00 (입장마감은 17:30),매주 월요일 / 명절,무료,,,가능,,없음,불가,없음,
영도 조내기 고구마 역사기념관,49087,,,부산광역시 영도구 벚꽃길 75(청학동),35.0853307223,129.0583548936,"영도 조내기 마을은 우리나라 최초로 고구마가 재배된 지역이다. 조선 영조 때 통신사 조엄이 대마도에서 가져온 고구마를 영도에서 처음 재배하게 됐고, 그것으로 백성들의 기근을 해소하게 됐으니 고구마의 역사적 가치와 의미 또 시배지였던 영도를 기념하고 알리기 위해 건립된 기념관이다. 영도 조내기 고구마 역사기념관 1층은 메인 전시관, 2층은 카페와 요리 체험실, 교육장이 있고 옥상 루프탑은 문화공간으로 꾸며져 있다. 특히, 조내기 고구마 역사 기념관은 고구마의 전파경로와 역사 연대기, 고구마의 전래 배경을 소개하고 있으며 샌드아트 영상, 고구마 동화이야기, 퍼즐 맞추기 키오스크, 스케치 인터랙티브 등이 있다. 고구마 모형의 조형물과 난간으로 꾸며진 공원과 놀이터는 아이들에게 인기가 많고, 고구마 카페도 인상적이다. 산책로를 따라 걸으면 봉래산 둘레길(6.5km)과 연결돼 있고, 금요일부터 일요일 오후 1시에서 5시까지는 문화 관광해설사의 재미있고 유익한 해설을 들을 수 있다.",,,"전시실 10명, 요리체험실 8명, 루프탑 22명",10:00~18:00,매주 월요일 / 1월1일 / 설·추석 당일  휴관,무료,없음,,가능(소형 6대),무료,없음,가능,없음,"체험프로그램:나만의 고구마 밭 만들기 스케치 체험
한국어 안내서비스:13:00~17:00(금토일 한정)
예약안내:단체 문의
대관안내:대관 문의
"
MUSEUM 209,5552,,,서울특별시 송파구 잠실로 209 (신천동)소피텔 앰배서더 호텔 3층,37.513923768699996,127.10638031219999,"다양한 색깔의 문화를 경험할 수 있는 전시장으로, 매년 다양한 전시회가 진행되고 있다. 전시회 입장권은 현장 발권 및 온라인 예매 가능하다. 잠실 소피텔 앰배서더 호텔에 유로로 주차가 가능하며 연계 관광지로 석촌호수, 롯데월드가 있다.",,,,10:00 ~ 19:00 (입장 및 발권 마감 18:00),매주 월요일,"성인 : 15,000원 / 청소년 : 12,000원",,60분,,"1시간 6,000원",,,,
바인딩,51428,,,경상남도 창원시 성산구 외동반림로258번길 15 (용호동)지하 1층,35.2389454969,128.6819835176,"바인딩(BINDING)이라는 이름이 소박하게 걸린 갤러리는 주택의 반지하를 개조한 공간에 자리 잡고 있다. 이 공간은 스스로를 예술로 소통하는 ‘아트 커뮤니케이터’라 소개하는 정진경 작가가 방치되어 있던 창고를 지역의 다양한 예술가들과 교류하는 소통의 장이자 실험 공간인 바인딩으로 만들었다. 바인딩은 무인 갤러리로 운영되고 있다. ‘관람객이 누구의 시선도 의식하지 않고, 어떤 선입관도 갖지 않은 채 자기만의 방식으로 오롯이 작품에 빠져드는 시간을 제공하고 싶은’ 정 작가의 의도가 담긴 방침이다. 갤러리 맞은편에는 바인딩이라는 이름이 걸린 또 하나의 공간이 있는데, 이곳은 정 작가의 작업실이자 지역 작가들과 다양한 문화예술 프로젝트를 기획하는 공간이다.",,,,"11:00~20:00(월요일 휴관) <br>전시에 따라 휴관일, 시간 등 변동 가능하니 사전 문의 요망",,,,,,,,,,"예약안내:인스타그램 다이렉트 메시지(DM)로 문의 또는 갤러리 문 앞에 적힌 전화번호로 연락
"
구리문화원,11910,,,경기도 구리시 동구릉로 217-14,37.6183872119,127.1384438616,"1991년 설립된 구리문화원은 지역의 문화와 예술을 증진하고, 지역 주민들이 문화생활을 즐길 수 있는 공간을 제공하는 역할을 하고 있다. 주요 시설로는 전시실과 문화학교 강좌를 위한 다수의 강의실, 대강당과 도서실, 옥상 하늘정원이 있다. 
구리문화원에서 운영하고 있는 문화학교는 1995년 9월에 개설되었으며 구리시민의 문화 복지 실현이라는 목적으로 오락 성향의 강좌가 아닌 순수 문화 예술 중심의 프로그램으로 구성되어 있다. 문화학교 프로그램으로는 한국무용, 대금, 풍물, 가야금, 서예 등의 전통 강좌와 통기타, 색소폰, 수필, 드럼의 일반강좌가 개설되어 있으며 문화원 홈페이지를 통해 수강 신청 할 수 있다. 
이 외에도 동구릉문화제, 구리 벌말다리밟기, 갈매동 도당굿과 같은 지역 문화행사를 개최하고 매달 구리문화지를 발간하고 있으며, 향토사의 발굴 및 조사·연구 및 사료를 수집·보존하고 있다.",,전용면적 221평,,09:00~20:00,주말 / 공휴일,,,,가능<br>요금(무료),,없음,불가,없음,"사업내용:구리 문화 예술제 주관, 전시활동, 지역문화 개발, 향토 고유 문화보존 전승, 아차산 유물 유적 발굴조사
체험프로그램:[ 한국무용 ] 90,000원<br>
[ 풍물 ] 90,000원<br>
[ 통기타 ] 120,000원<br>
[ 수필 ] 20,000원 
"
화천문화원,24117,,,강원특별자치도 화천군 화천읍 상승로 91,38.1088016436,127.7047222943,"화천문화원은 화천의 역사와 문화를 알리고 지역사회 문화교육을 통해 지역민들에게 전통문화의 계승과 문화적 혜택을 제공하는 것을 주 목표로 하고 있다. 교육 향토 문화사업 및 지역문화 관광 프로그램을 개발하기 위해 사업의 다변화를 시도하고 있는 문화원은 지역 사회교육사업, 향토 문화연구 사업, 문화학교 운영 등 여러분야에서 지역민과 함께 노력하고 있다. 
지역 사회교육사업으로 백일장, 향토 문화 유산 답사, 반딧불이극장 운영을 하고 있으며, 향토문화연구소는 문화사랑방을 운영하고 문학제, 낭천별곡 공연 등을 개최하고 있다. 또한 문화학교를 운영하며 지역주민들의 취미와 여가선용을 위해 다양한 프로그램을 제공하고 있다.
화천문화원은 지상 3층 규모로 전시실을 비롯한 강의실, 회의실, 연습실, 사무실, 문화교실 등으로 구성되어 있다. 문화원에서는 한글과 한문 서예, 문인화, 가야금, 문예 창작, 서양화, 사물놀이, 도예, 국악 교실 등 문화예술 프로그램이 운영되고 있다. 
화천문화원은 화천의 문화와 예술 발전의 요람으로서의 역할을 하고 있다.",,145평,,09:00~18:00,토요일 / 일요일 / 공휴일,,,,주차 가능,무료,없음,불가,없음,"사업내용:문화행사 개최, 지역사회 교육사업, 애향운동 전개사업, 문화교류사업, 문화학교 운영
체험프로그램:[문화학교]<br>
서예 / 문인화 / 가야금 / 도예
"
태백문화원,26039,,,강원특별자치도 태백시 태백로 1136,37.1567473782,128.9894682332,"태백문화원은 태백의 향토 문화와 역사, 지역문화를 계승시키고 발전시키기 위한 곳으로 조상의 얼과 지혜가 담긴 문화유산과 전설, 사라져가는 옛 생활의 풍습 등을 기록하고 보존하고 있다. 검룡소, 황지연못, 태백산 천제단, 대한석탄공사 장성광업소 등 태백의 자랑과 역사를 간직하고 계승시키기 위해 설립되었다. 
문화원은 전시실과 강당, 도서실, 영상실, 체험실 등의 시설로 나뉘며 다양한 문화행사와 교육프로그램을 운영하고 있다. 사물놀이와 가야금 등 전통 교실을 운영하고 있으며, 서예, 중국어 회화 등 문화학교를 운영하고 태백산 천제, 낙동강 발원제, 태백산 청소년 문화캠프, 태백산 문화탐방 등의 다양한 문화행사 등을 개최하고 있다. 
태백문화원은 태백시 문화재단과 협력하여 태백의 문화예술 활성화을 위해 태백  시민합창단, 태백  시민오케스트라, 태백 시민무용단 등의 문화예술단체도 지원하고 있다.",,661.16m²(200평),,10:00~17:00,토요일 / 일요일 / 공휴일,강좌마다 다름,,,주차 가능,무료,없음,불가,없음,"사업내용:1) 문화학교 운영 <br />2) 문화사랑방 사업 <br />3) 향토주사,연구 사업<br /> 4) 향토행사 사업
체험프로그램:[전통교실]<br>
- 사물놀이 / 가야금<br>
[문화학교]<br>
민요 / 서예 / 노래교실 / 해금 / 중국어회화 / 통기타
"
분원백자자료관,12708,,,경기도 광주시 남종면 산수로 1642-1,37.4962682523,127.3024102159,"분원백자자료관은 경기도 광주에 위치한 박물관으로, 조선의 마지막 관요(왕실용 도자기를 구워내기 위하여 정부에서 관리했던 가마터)인 분원리 유적 위에 조성되었다. 지금의 분원리는 1973년 팔당댐의 건설로 수몰되어 옛 모습을 찾아볼 수 없으며, 현재의 분원백자자료관은 2003년 폐교인 분원 초등학교를 리모델링하여 개관하였다.
자료관은 2개 층으로 구성되어 있다. 2층은 세미나실이기 때문에 실제로는 1층에만 유물이 전시되어 있다. 광주 가마터에서 출토된 조선백자와 조선시대 관영 사기의 변천과 도자기의 역사, 미니어처로 재현된 가마터의 모습과 생활 등이 전시되어 있다. 입구에는 분원 선정비가 세워져있다. 선정비는 선정을 베푼 관원의 덕을 기념하기 위해 세운 비석으로, 이 비는 말 그대로 가마터의 관리로서 조선백자를 세계적인 명품으로 완성 시킨 관리들의 공을 기리는 묘비이다. 
이 밖에도 자료관에서는 관람객을 대상으로 분원백자에 대한 역사교육과 실습교육을 진행하고 있다. 체험 프로그램으로는 나만의 백자 머그컵 디자인하기, 조선백자 모형 만들기 등이 있으며, 프로그램은 사전예약이 필수이다.",,,,[ 화요일~일요일 ] 10:00~18:00,월요일 / 공휴일,무료,,,주차 가능,무료,없음,없음,없음,"사업내용:1) 분원 백자관 해설<br>
2) 春 다도체험<br>
3) 도자체험
체험프로그램:활동 워크북 놀이 / 조선백자 모형만들기 등 
"
토지문화관,26494,,,강원특별자치도 원주시 흥업면 매지회촌길 79,37.2574487215,127.9111953371,"토지문화관은 강원도 원주시 흥업면 매지리에 있는 문화시설로 1999년 개관하였다. 대하소설 토지의 작가인 박경리가 설립하였으며 이후 토지문화재단이 운영하고 있다. 작가는 숲속의 맑은 공간이 국내외 여러 석학 및 예술인들의 토론의 장이자 모든 현안을 논의할 수 있는 공간을 되기를 희망하는 마음으로 시설을 설립하였다. 
토지문화관의 주요 사업으로는 국내 최초 세계문학상인 박경리문학상 사업, 국내외 젊은 문화예술인과 국내 장애예술인을 위한 창작실 지원 사업과 소규모의 세미나부터 국제적인 회의, 숙박까지 진행할 수 있도록 토지문화관의 시설과 공간 대관사업이 있다. 
특히, 토지문화관 창작실은 본관과 귀래관, 매지사 건물로 나뉘며 본관은 대회의실과 인쇄, 복사실 그리고 식당과 카페 공간, 도서실과 세미나실로 구성되어 있다. 귀래관은 장애예술인을 위한 창작실로 모든 장애인 편의시설을 갖췄으며 작업실과 휴게실, 10개의 원룸형 객실이 있다. 매지사는 5개의 원룸형 객실로 문화예술인들의 창작활동과 쉼을 위한 공간이다. 휴게실을 비롯한 창작실 주변 산책실은 예술인들에게 편안한 휴식을 선사하는 등 문화예술인이 마음껏 창작 활동에 매진할 수 있도록 아낌없는 지원을 제공하고 있다.",,,,10:00~18:00,토요일 / 일요일,,,,주차 가능,,없음,불가,불가,"체험프로그램:[ 창작실 지원 사업 ]<br>
-다양한 문학 장르에서 활동하는 문인<br>
-창작에 필요한 공간 지원
대관안내:창작실, 숙소, 회의시설, 세미나실 대관 가능 <br />
문의 033-766-5544<br>
<a href=""https://tojicf.com/sub/sub03_04.php"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://tojicf.com</a>
"
부산과학기술대학교 민속자료실,46639,,,부산광역시 북구 시랑로132번길 88(구포동),35.194461949099995,129.00424551,"부산과학기술대학교 민속자료실은 옛 선조들이 남긴 유물과 유적을 발굴하고 수집, 연구하고 보존하여 교육 및 전시함으로써, 슬기와 예지를 배우고, 문화의 뿌리를 추적하며, 진정한 한국인의 얼과 멋을 터득하고 그 실체를 파악하기 위하여 설립되었다. 약 300평 규모의 실내 전시실 3개소와 회랑 전시실, 야외 전시실로 꾸며져 있고, 유물 3,000여 점을 전시하고 있다.",,약 300평,,10:00~16:00,주말 및 공휴일,,,,있음(소형 100대),무료,없음,불가,없음,"소장품현황:금속, 보석, 토도, 골각, 목죽, 피보지직, 서화탁본, 편직제품, 무구, 의상 등 유물 2,689점
"
태백 고생대 자연사박물관,26048,,,강원특별자치도 태백시 태백로 2249 태백고생대자연사박물관,37.0949248858,129.039601732,"고생대의 따뜻한 바다 환경에서 퇴적된 지층이 널리 분포된 태백시 구문소 고생대 지층 위에 2010년에 건립된 자연사박물관이다. 국내 유일의 전기고생대 지질층서가 연속 관찰되고, 중기고생대 부정합면을 관찰할 수 있는 곳으로 학계에 가장 많은 관심을 받고 있는 곳이다.
특히 삼엽충을 비롯하여 완족동물, 필석류, 연체동물 등 많은 화석이 산출되어 우리나라 고생대 화석의 보고라고 할 수 있다. 고생대 자연환경과 그곳에 살았던 생물 역사를 추적할 수 있는 다양한 화석 및 퇴적구조를 체험할 수 있다. 
박물관은 총 3층으로 구성되어 있으며 전시실과 기획전시실, 야외 체험학습장, 고생대 콘테츠 체험관, 포켓뮤지엄, VR 체험실, 편의시설로 구성되어 있다.
1층 체험전시실에서는  탁본, 크로마키, 화석발굴 놀이 등 관람자가 직접 참여할 수 있는 다양한 체험 아이템을 경험할 수 있다. 2층 전시관에서는 선캄브리아시대와 전기 및 중기고생대의 다양한 생명과 지층을 만날 수 있다. 3층 전시관에서는 후기고생대와 중생대 그리고 신생대에 살았던 다양한 동식물들을 만날 수 있다. 야외전시관은 아이들이 뛰어놀 수 있는 놀이터와 근처에 구문소가 자리하고 있어 즐겁게 뛰어놀며 자연을 경험할 수 있다.",,"부지면적 12,727㎡, 건축연면적 6,207㎡(지상2, 지하1층)<br />
전시면적 : 2,530.07㎡(1층 1,057.91㎡, 2층 722.25㎡, 지하 749.91㎡)",,09:00~18:00(17:00 매표마감),매주 월요일,"개인 - 어른 2,000원 / 청소년, 군인 1,500원 / 어린이 1,000원<br />단체 - 어른 1,500원 / 청소년, 군인 1,000원 / 어린이 700원<br />[태백시민]<br />개인 - 어른 1,500원 / 청소년, 군인 1,000원 / 어린이 700원<br />단체 - 어른 1,000원 / 청소년, 군인 700원 / 어린이 500원",※ 무료관람<br />- 국빈·외국사절단 및 그 수행자<br />- 국가유공자와 그 유족 또는 가족<br />- 독립유공자와 그 유족 또는 가족<br />-「장애인복지법」의 적용을 받는 장애인 및 그와 동행하는 보호자 1인<br />- 5세 이하인자와 65세 이상인 노인<br />- 공무수행을 위하여 출입하는 자<br />- 전시물 기증 등 박물관 발전에 기여한 자<br />- 그 밖에 시장이 필요하다고 인정하는 자,"총90분(메인전시60분, 포켓뮤지엄 30분)",주차 가능,무료,없음,불가,가능,"체험프로그램:화석만들기, 목공예체험, 4D프레임 : 2,000원 <br />
크로마키 기념촬영 : 1,000원<br />
느린우체통, 탁본체험 : 500원<br />
※ 전화문의 요망
예약안내:단체예약 - 20명 이상인 경우 신청 가능
대관안내:기획전시실, 영상실 대관 가능
"
화천교육도서관,24121,,,강원특별자치도 화천군 화천읍 상승로3길 22,38.1067102148,127.70438905389999,"화천교육도서관은 1990년 12월 22일 화천군 공공도서관으로 개관한 이후, 2013년 화천교육도서관으로 명칭을 변경하며 지속적인 발전을 거듭해 왔다. 화천군민의 지식정보화 사회에 대비한 평생교육센터로서, 지역주민의 종합정보문화기관으로서 그리고 취미나 여가생활에 도움이 되는 역할은 하고 있다.
도서관은 총 3개층으로 구성되어 있다. 1층에는 종합자료실, 휴게실, 2층에는 문화교실과 동아리실, 프로그램실, 서고, 3층에는 다목적 강당이 자리하며 각 층마다 다른 주제의 자료실과 열람실을 운영하고있다. 
도서관에서는 다양한 문화프로그램과 평생 학습프로그램을 운영하고 있다. 북콘서트, 작가와의 만남, 다양한 만들기 체험 등 지역구민의 문화적 소양과 여가선용을 위해 많은 프로그램을 지속적으로 계발하며 제공하고 있다. 전자정보실에서는 신속 정확한 정보 서비스를 제공하고 있으며, 강원도교육청 전자도서관과 국가전자도서관 등과 연계하여 다양한 전자책과 학술논문을 검색할 수 있다.
화천교육도서관은 21세기 지식정보화 사회에 대비한 평생교육센터로서 또한 지역주민의 종합정보문화기관으로서 그 역할을 다하고 있다.",,"대지 : 1,050㎡  <br />
건물 : 1,635.15㎡",,"[종합자료실, 디지털자료실]<br />
09:00 ~ 18:00<br />
[학습실]<br />
08:00 ~ 23:00",매주 월요일 / 관공서의 공휴일(공휴일이 일요일과 겹칠때는 휴관) / 도서관장이 지정하는 날,,,,주차 가능,,없음,불가,없음,"체험프로그램:[평생학습프로그램]<br>
- 할로윈 머핀 만들기 <br>
- 송편 만들기<br>
- 자개 열쇠고리 만들기<br>
- 그림책 속으로 독서여행<br>
- 재미 쏙쏙! 창의력 쑥쑥!(책놀이)
"
태백시 문화예술회관,26009,,,강원특별자치도 태백시 고원로 203,37.1720067101,128.98805678829999,"2003년에 개관한 태백시 문화예술회관은 총 1,600석의 객석을 갖춘 태백시를 대표하는 대형 문화시설이다. 이곳은 시민의 정서 함양과 지역문화예술에 기여하기 위해 최고수준의 공연과 시민위주의 공연을 개최하고 다양한 분야의 전시회를 통해 문화예술공간의 역할을 다하고 있다.
대공연장은 796석의 객석에서 최신 무대 시설과 음향 시설, 조명 시설 등을 갖추고 음악, 연극, 무용 등 다양한 공연이 이루어진다. 소공연장은 203석의 객석을 보유하고 있는 공연장으로서, 소규모의 연극, 합창, 실내악, 독주회 등의 공연을 생동감 있게 감상할 수 있다. 지상 2층으로 마련된 전시실은 소전시실과 대전시실로 나뉘어 있으며, 회화와 조각은 물론, 서예, 사진, 묵화, 공예, 수석 등 모든 장르의 전시회를 망라하여 다양한 발표 공간을 제공하고 있다. 야외공연장은 640석의 객석을 보유하고 있는데, 특히 여름철에 각종 공연이 다양하게 열리고 있다.",,"부지면적 : 29,777㎡, 대공연장 : 4,339㎡(지상3층)<br>
소공연장 : 808㎡, 전시면적 : 1,073㎡( 대전시실 243㎡, 소전시실 122㎡ )",대공연장 786석 / 소공연장 224석 / 야외공연장 640석,※ 공연에 따라 다르므로 전화문의 요망,연중무휴,※공연에 따라 다르므로 전화문의 요망,,,주차 가능,무료,불가,불가,가능,"사업내용:기획공연, 대관
외국인 예약안내:행사 및 공연일정에 따라 변동
예약안내:행사 및 공연일정에 따라 변동
대관안내:- 대관시설 : 대공연장, 소공연장, 전시컨벤션홀, 연습실, 야외공연장, 다목적실<br />
- 대관신청 : 사용 개시일 20일 전까지 신청(신청-검토-통보)<br />
- 대관문의 : 033-553-8836, 550-2781
"
법환동 청소년문화의집,63573,,,제주특별자치도 서귀포시 막숙포로 70-1,33.2355344019,126.514199354,"법환동 청소년문화의집은 2006년에 개관했으며 지역 청소년들의 건전한 여가생활을 위해 다양한 문화 교육 활동과 청소년 활동 지원 사업을 운영하고 있다. 2층 규모로 150여 명을 수용할 수 있다. 1층에는 다목적홀, 도서열람실, 인터넷부스, 영상편집실, 탁구부스 시설이 있고, 2층에는 창작공방, 음악활동실, 댄스동아리방, AV감상실, 다용도활용실, 포켓볼부스 시설이 있어 청소년들이 다양한 활동을 즐길 수 있다.
또, 공개모집과 추천을 통해 선정된 20인 이내의 청소년으로 구성된 청소년운영위원회가 직접 참여하여 시설의 운영 및 각종 프로그램을 자문하며 평가하고 있어 또래들의 참여를 유도한다.",,,150명,09:00~20:00,매주 월요일,,,,주차 가능,,불가,불가,없음,
파로호 안보전시관,24132,,,강원특별자치도 화천군 간동면 파로호로 208,38.0949850632,127.7715055013,"파로호 안보전시관은 강원도 화천군에 있는 안보 관련 전시관이다. 1990년에 건립되었으며, 2017년에 리모델링을 통해 새롭게 단장되었다. 이곳은 1951년 5월에 벌어진 파로호 전투의 역사와 승리를 기리고, 화천 지역의 안보와 평화에 대한 내용을 전시하고 있다. 파로호는 북한강 협곡을 막아 축조한 화천댐으로 인해 생겨난 인공호수이다.
파로호 전투는 국군 제6사단이 중공군 3개 사단을 섬멸하고 화천댐을 사수했던 대승을 거둔 전투였다. 1층 전시관에는 군의 근대 역사와 파로호 전투의 모형과 영상, 화천 지역의 다른 전투 승리사 등이 전시되어 있다. 2층에는 화천군을 홍보하는 공간과 관람객 휴식 공간이 있다. 파로호 안보전시관은 파로호 전망대와 연결되어 있어서  전망대에서는 화천 1경인 파로호와 화천댐, 북한의 산들을 조망할 수 있다. 파로호 상류에는 평화의 댐이 있다.",,,,09:00 ~ 18:00,매주 월요일·화요일 / 1월 1일 / 설날·추석 당일,무료,,,주차 가능(50대),무료,없음,불가,없음,"한국어 안내서비스:가능
"
자연사랑미술관,63623,,,제주특별자치도 서귀포시 표선면 가시로613번길 46,33.355669695100005,126.77195208399999,"서귀포시에 위치한 사진갤러리이다. 폐교된 가시초등학교를 활용해 90평 규모의 넓은 전시 공간을 가진 것이 특징이다. 제주는 천혜의 자연경관으로 이루어진 화산섬으로, 섬 곳곳에 독특한 경관과 문화가 서려 있다. 이런 제주의 자연과 민속을 담은 사진가 서재철의 작품을 한눈에 볼 수 있도록 전시했다. 자연사랑미술관은 가시초등학교의 옛 모습을 담은 사진 전시실, 사진과 책을 판매하는 공간과 쉼터로 구성되어 있다. 땅 할아버지라는 의미의 따라비전시장에서는 제주오름(기생화산)의 다양한 모습을 만날 수 있고, 바람이 머무는 곳이라는 뜻의 바람자리전시장에서는 한라산과 바다를 통해 제주의 비경과 사계절을 느낄 수 있다. 그 외에 화산탄을 전시한 야외 화산탄 갤러리가 있다.",,,,10:00~17:00,,"성인 3,000원 / 초,중,고 1,000원 / 도민 2,000원",,,,,없음,없음,없음,
궁산 땅굴 역사전시관,7522,,,서울특별시 강서구 양천로49길 106 (마곡동),37.572720465399996,126.83838084530001,"궁산 땅굴 역사전시관은 겸재정선미술관 후문 쪽에 위치해 있는 전시관이다. 
궁산 땅굴은 1940년대 초중반 일제강점기 시절 군용 물자들을 원활하게 움직이기 위해 보관하던 창고로 이용되던 땅굴이다. 땅굴의 규모는 높이 2.7m, 폭 2.2m, 연장 길이 68m로 추정된다. 무기나 탄약 등 군수물자를 저장하거나 김포 비행장을 감시하고 공습 때에는 부대 본부로 사용하기 위한 곳이었다고 전해진다. 이곳을 건설하기 위해 인근 지역 주민을 보국대로 강제 동원하였다. 일본의 패전으로 해방을 맞이하면서 굴착 공사 또한 중지됐지만 이후 이곳은 여러 가지 용도로 사용돼 왔다. 
2008년 지하 땅굴이 지역 주민들의 제보로 발견되었고 땅굴 내부까지 전시관을 조성하려 하였지만 공사 도중 동굴 내부 일부 구간에 대형 낙석이 발생하여 공사를 중단하고 2018년 유리벽을 설치하여 출입구에서 땅굴 내부를 볼 수 있는 전시관을 조성하였다.",,,,10:00~16:00,월요일 / 일요일을 제외한 관공서의 공휴일,무료,,,있음,,,,,
